Rk,G,Date,Opp,W/L,PTS,Opp.1,PTS.1,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
37,37,2023-01-02,GSW,L,141,143,53,109,.486,11,35,.314,24,29,.828,10,53,30,9,10,13,17,54,121,.446,19,59,.322,16,24,.667,23,69,34,9,6,19,23
38,38,2023-01-04,SAC,W,120,117,45,84,.536,10,30,.333,20,22,.909,7,44,21,9,4,16,21,41,88,.466,10,25,.400,25,27,.926,10,42,26,9,3,11,19
39,39,2023-01-06,LAL,L,114,130,44,96,.458,9,31,.290,17,22,.773,7,39,24,8,5,12,15,51,93,.548,16,35,.457,12,16,.750,7,51,33,6,5,18,18
40,40,2023-01-08,LAC,W,112,108,44,89,.494,8,26,.308,16,20,.800,7,43,22,7,9,9,18,37,95,.389,10,30,.333,24,31,.774,21,59,25,6,5,11,19
41,41,2023-01-11,MIL,L,105,114,39,87,.448,11,30,.367,16,18,.889,6,41,25,5,3,11,12,45,98,.459,18,48,.375,6,11,.545,14,57,28,6,4,11,15
42,42,2023-01-13,IND,W,113,111,41,94,.436,16,33,.485,15,21,.714,14,50,26,6,9,14,22,40,101,.396,7,30,.233,24,29,.828,19,51,24,8,9,12,22
43,43,2023-01-14,TOR,W,114,103,43,84,.512,11,27,.407,17,18,.944,5,40,19,6,4,12,22,36,87,.414,7,29,.241,24,30,.800,11,43,19,9,3,14,19
44,44,2023-01-16,MIA,W,121,113,45,76,.592,13,27,.481,18,22,.818,2,28,27,9,5,16,17,43,89,.483,8,31,.258,19,20,.950,12,41,30,10,4,16,22
45,45,2023-01-18,DAL,W,130,122,49,86,.570,13,26,.500,19,20,.950,7,35,28,7,4,12,23,44,84,.524,16,42,.381,18,24,.750,10,31,26,5,3,16,19
46,46,2023-01-20,NYK,W,139,124,56,100,.560,13,34,.382,14,16,.875,14,39,27,6,4,7,16,49,83,.590,13,30,.433,13,17,.765,9,34,27,5,3,12,15
47,47,2023-01-21,CHO,L,118,122,45,83,.542,11,25,.440,17,20,.850,6,40,24,5,4,18,20,45,89,.506,13,34,.382,19,22,.864,6,36,28,11,2,12,18
48,48,2023-01-23,CHI,L,100,111,39,85,.459,10,33,.303,12,19,.632,9,43,24,6,4,19,14,44,95,.463,11,34,.324,12,18,.667,15,47,28,13,3,11,20
49,49,2023-01-25,OKC,W,137,132,50,84,.595,11,29,.379,26,33,.788,11,46,26,5,6,17,16,53,102,.520,15,34,.441,11,16,.688,12,37,31,12,2,12,23
50,50,2023-01-28,LAC,L,113,120,45,95,.474,7,27,.259,16,20,.800,15,47,24,12,2,9,18,42,80,.525,19,39,.487,17,19,.895,6,37,25,5,5,14,15
51,51,2023-01-30,POR,L,125,129,44,94,.468,13,30,.433,24,30,.800,17,45,26,5,0,7,21,43,79,.544,19,40,.475,24,27,.889,3,32,24,2,7,8,21
52,52,2023-02-01,PHO,W,132,100,52,91,.571,19,33,.576,9,11,.818,6,45,32,6,5,12,24,35,86,.407,4,28,.143,26,31,.839,12,44,22,8,4,16,13
53,53,2023-02-03,UTA,W,115,108,44,95,.463,10,37,.270,17,23,.739,14,52,28,8,5,9,18,41,91,.451,13,44,.295,13,18,.722,13,50,20,4,2,15,22
54,54,2023-02-04,DEN,L,108,128,44,91,.484,6,20,.300,14,17,.824,10,43,26,7,7,16,18,48,95,.505,15,38,.395,17,20,.850,12,48,32,14,6,13,15
55,55,2023-02-07,NOP,L,107,116,38,85,.447,12,36,.333,19,25,.760,10,41,30,4,6,12,21,45,91,.495,12,32,.375,14,21,.667,13,47,28,8,2,10,19
56,56,2023-02-09,PHO,W,116,107,43,95,.453,10,29,.345,20,27,.741,20,59,23,6,4,19,22,39,86,.453,7,30,.233,22,29,.759,9,35,24,14,10,11,19
57,57,2023-02-11,SAS,W,125,106,50,103,.485,10,26,.385,15,19,.789,14,48,29,9,6,10,10,40,94,.426,11,37,.297,15,17,.882,14,49,25,9,5,20,17
58,58,2023-02-13,CHO,L,138,144,53,108,.491,11,28,.393,21,21,1.000,16,42,26,9,4,12,15,53,84,.631,20,37,.541,18,23,.783,3,35,36,5,5,17,19
59,59,2023-02-15,NYK,L,101,122,40,97,.412,5,26,.192,16,21,.762,8,40,25,6,7,5,18,45,96,.469,14,43,.326,18,22,.818,10,55,16,2,4,10,21
60,60,2023-02-24,CLE,W,136,119,50,85,.588,15,28,.536,21,23,.913,5,42,28,7,8,14,21,40,88,.455,13,35,.371,26,29,.897,10,35,20,9,6,11,23
61,61,2023-02-26,BRK,W,129,127,45,90,.500,16,30,.533,23,28,.821,13,46,20,7,2,16,18,43,87,.494,14,39,.359,27,29,.931,6,37,20,12,6,10,21
62,62,2023-02-28,WAS,L,116,119,43,93,.462,13,35,.371,17,19,.895,13,42,21,4,7,9,17,48,97,.495,6,21,.286,17,20,.850,16,48,19,6,5,9,15
63,63,2023-03-03,POR,W,129,111,52,91,.571,12,26,.462,13,16,.813,10,43,30,10,5,17,19,41,87,.471,13,39,.333,16,20,.800,9,34,22,11,7,18,15
64,64,2023-03-04,MIA,L,109,117,37,79,.468,9,30,.300,26,30,.867,10,37,22,12,1,16,23,42,83,.506,13,35,.371,20,23,.870,12,43,31,5,3,20,19
