Rk,G,Date,Opp,W/L,PTS,Opp.1,PTS.1,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
42,42,2023-01-08,ATL,L,108,112,37,95,.389,10,30,.333,24,31,.774,21,59,25,6,5,11,19,44,89,.494,8,26,.308,16,20,.800,7,43,22,7,9,9,18
43,43,2023-01-10,DAL,W,113,101,39,86,.453,12,31,.387,23,30,.767,12,46,20,7,4,10,23,30,69,.435,12,38,.316,29,36,.806,3,32,15,5,6,12,17
44,44,2023-01-13,DEN,L,103,115,41,87,.471,10,29,.345,11,14,.786,11,43,20,6,3,12,18,41,82,.500,14,33,.424,19,25,.760,10,43,24,7,4,11,11
45,45,2023-01-15,HOU,W,121,100,46,88,.523,14,32,.438,15,21,.714,11,44,21,13,6,17,16,38,84,.452,7,31,.226,17,23,.739,10,39,22,8,6,20,17
46,46,2023-01-17,PHI,L,110,120,41,82,.500,12,34,.353,16,20,.800,8,33,20,4,5,19,23,39,73,.534,13,31,.419,29,34,.853,8,33,25,12,4,15,17
47,47,2023-01-18,UTA,L,103,126,37,92,.402,15,34,.441,14,21,.667,16,50,23,1,6,13,20,45,87,.517,19,32,.594,17,22,.773,9,44,26,4,7,8,19
48,48,2023-01-20,SAS,W,131,126,51,81,.630,15,28,.536,14,20,.700,11,32,31,4,2,9,13,51,89,.573,14,26,.538,10,14,.714,12,34,34,3,1,7,15
49,49,2023-01-22,DAL,W,112,98,35,77,.455,12,28,.429,30,31,.968,9,46,20,6,3,11,23,35,80,.438,13,35,.371,15,26,.577,12,38,15,3,3,10,21
50,50,2023-01-24,LAL,W,133,115,51,84,.607,19,38,.500,12,15,.800,7,47,25,4,9,15,20,42,95,.442,16,40,.400,15,24,.625,9,32,21,8,4,7,13
51,51,2023-01-26,SAS,W,138,100,52,89,.584,18,38,.474,16,21,.762,6,37,26,9,9,5,21,37,82,.451,8,24,.333,18,28,.643,11,42,24,2,1,14,18
52,52,2023-01-28,ATL,W,120,113,42,80,.525,19,39,.487,17,19,.895,6,37,25,5,5,14,15,45,95,.474,7,27,.259,16,20,.800,15,47,24,12,2,9,18
53,53,2023-01-29,CLE,L,99,122,37,89,.416,2,19,.105,23,27,.852,15,45,17,6,0,15,19,44,78,.564,20,33,.606,14,19,.737,4,35,35,9,7,13,23
54,54,2023-01-31,CHI,W,108,103,37,93,.398,12,44,.273,22,26,.846,11,44,24,15,6,8,16,38,77,.494,12,24,.500,15,21,.714,6,51,26,6,6,20,19
55,55,2023-02-02,MIL,L,105,106,39,95,.411,13,36,.361,14,20,.700,9,49,15,8,4,7,22,39,90,.433,9,37,.243,19,27,.704,8,53,16,2,0,10,17
56,56,2023-02-04,NYK,W,134,128,44,92,.478,16,37,.432,30,35,.857,9,46,24,8,4,13,20,45,94,.479,18,40,.450,20,26,.769,10,46,30,6,3,10,30
57,57,2023-02-06,BRK,W,124,116,44,92,.478,12,30,.400,24,30,.800,11,46,20,11,5,9,19,41,84,.488,16,31,.516,18,22,.818,8,42,21,4,5,16,26
58,58,2023-02-08,DAL,L,104,110,38,86,.442,12,33,.364,16,21,.762,9,40,21,10,4,11,18,41,78,.526,17,35,.486,11,17,.647,8,44,26,7,6,18,20
59,59,2023-02-10,MIL,L,106,119,42,85,.494,11,33,.333,11,14,.786,3,35,17,5,7,10,12,45,90,.500,17,39,.436,12,16,.750,9,49,28,8,4,11,13
60,60,2023-02-14,GSW,W,134,124,49,92,.533,17,36,.472,19,22,.864,12,36,33,5,4,8,22,45,83,.542,15,34,.441,19,27,.704,8,36,28,2,1,11,22
61,61,2023-02-16,PHO,W,116,107,40,82,.488,11,34,.324,25,27,.926,8,43,29,8,2,14,19,42,89,.472,11,31,.355,12,16,.750,7,38,30,10,2,14,24
62,62,2023-02-24,SAC,L,175,176,59,98,.602,26,45,.578,31,36,.861,7,42,39,8,3,25,27,65,111,.586,18,41,.439,28,35,.800,12,43,33,18,3,15,28
63,63,2023-02-26,DEN,L,124,134,44,90,.489,11,34,.324,25,30,.833,6,38,24,11,5,13,25,49,96,.510,13,39,.333,23,31,.742,11,50,35,10,3,16,23
64,64,2023-02-28,MIN,L,101,108,35,83,.422,11,28,.393,20,23,.870,9,44,24,11,3,25,17,43,90,.478,9,26,.346,13,22,.591,10,46,22,14,8,19,20
65,65,2023-03-02,GSW,L,91,115,32,89,.360,9,43,.209,18,21,.857,9,47,19,5,5,16,24,39,93,.419,14,46,.304,23,27,.852,15,60,25,9,6,12,20
66,66,2023-03-03,SAC,L,127,128,47,87,.540,14,41,.341,19,27,.704,6,32,31,7,3,7,24,46,87,.529,10,33,.303,26,26,1.000,9,45,26,3,2,11,22
67,67,2023-03-05,MEM,W,135,129,45,85,.529,12,29,.414,33,35,.943,13,53,25,6,2,17,17,50,92,.543,18,34,.529,11,15,.733,2,26,32,13,3,8,23
68,68,2023-03-08,TOR,W,108,100,39,71,.549,6,20,.300,24,31,.774,9,44,23,9,4,17,18,37,96,.385,13,32,.406,13,14,.929,15,41,21,12,2,12,23
69,69,2023-03-11,NYK,W,106,95,42,87,.483,10,30,.333,12,16,.750,7,39,22,3,4,10,20,32,90,.356,7,31,.226,24,27,.889,20,54,21,5,3,10,17
70,70,2023-03-15,GSW,W,134,126,46,96,.479,16,34,.471,26,32,.813,16,44,30,11,1,8,18,49,88,.557,17,36,.472,11,15,.733,7,36,28,5,1,16,25
71,71,2023-03-18,ORL,L,108,113,42,90,.467,6,22,.273,18,24,.750,13,43,23,9,3,15,24,42,84,.500,10,31,.323,19,25,.760,9,45,23,14,5,18,22
72,72,2023-03-19,POR,W,117,102,43,94,.457,12,28,.429,19,23,.826,18,49,26,11,3,10,18,37,82,.451,6,29,.207,22,24,.917,11,40,24,7,9,15,14
73,73,2023-03-21,OKC,L,100,101,41,86,.477,6,31,.194,12,21,.571,12,46,21,9,2,14,21,39,93,.419,10,37,.270,13,14,.929,12,47,19,2,4,12,21
74,74,2023-03-23,OKC,W,127,105,47,84,.560,18,37,.486,15,20,.750,8,42,34,9,5,15,9,41,93,.441,13,39,.333,10,11,.909,13,40,24,6,3,14,20
75,75,2023-03-25,NOP,L,110,131,39,75,.520,15,33,.455,17,21,.810,2,31,29,9,6,20,14,51,96,.531,21,34,.618,8,9,.889,12,45,36,11,3,16,21
76,76,2023-03-27,CHI,W,124,112,48,81,.593,20,40,.500,8,16,.500,6,37,41,10,4,18,17,44,82,.537,9,23,.391,15,21,.714,8,34,26,9,3,15,11
77,77,2023-03-29,MEM,W,141,132,48,78,.615,22,37,.595,23,31,.742,3,32,28,8,4,16,21,49,95,.516,11,32,.344,23,28,.821,14,45,26,8,4,13,20
78,78,2023-03-31,MEM,L,94,108,34,90,.378,11,35,.314,15,18,.833,12,50,26,5,8,18,14,43,96,.448,9,33,.273,13,17,.765,12,51,25,11,7,15,16
79,79,2023-04-01,NOP,L,114,122,42,85,.494,11,29,.379,19,23,.826,11,37,25,5,4,13,29,42,86,.488,7,17,.412,31,35,.886,14,40,21,6,5,7,15
80,80,2023-04-05,LAL,W,125,118,43,82,.524,16,36,.444,23,27,.852,5,38,23,9,4,13,18,45,89,.506,12,29,.414,16,24,.667,10,44,27,4,3,14,17
81,81,2023-04-08,POR,W,136,125,49,93,.527,12,35,.343,26,30,.867,13,51,30,7,5,12,17,47,89,.528,14,32,.438,17,23,.739,7,34,32,8,4,10,20
82,82,2023-04-09,PHO,W,119,114,49,100,.490,5,23,.217,16,24,.667,14,53,22,3,5,10,18,42,99,.424,14,37,.378,16,22,.727,12,47,29,4,3,7,21
1,1,2022-10-18,GSW,L,109,123,40,94,.426,10,40,.250,19,25,.760,9,48,23,12,4,22,18,45,99,.455,16,45,.356,17,23,.739,11,48,31,11,4,18,23
2,2,2022-10-20,LAC,L,97,103,33,94,.351,9,45,.200,22,26,.846,8,38,23,13,5,10,24,37,80,.463,9,29,.310,20,31,.645,10,58,18,7,7,23,24
3,3,2022-10-23,POR,L,104,106,41,92,.446,6,33,.182,16,20,.800,10,40,26,9,9,13,24,37,84,.440,10,27,.370,22,27,.815,13,52,19,6,5,19,20
4,4,2022-10-26,DEN,L,99,110,40,90,.444,8,30,.267,11,16,.688,7,47,25,8,4,14,16,42,92,.457,9,34,.265,17,21,.810,9,54,34,12,5,11,17
5,5,2022-10-28,MIN,L,102,111,37,89,.416,9,29,.310,19,27,.704,12,55,20,8,5,22,21,41,99,.414,13,40,.325,16,24,.667,14,49,27,13,8,10,21
6,6,2022-10-30,DEN,W,121,110,46,96,.479,13,30,.433,16,20,.800,13,51,24,5,5,9,17,41,96,.427,15,40,.375,13,18,.722,13,48,24,3,8,9,15
7,7,2022-11-02,NOP,W,120,117,45,98,.459,10,36,.278,20,23,.870,11,56,30,6,8,18,17,47,102,.461,8,25,.320,15,21,.714,11,51,35,10,5,14,20
8,8,2022-11-04,UTA,L,116,130,40,83,.482,11,26,.423,25,28,.893,9,40,22,6,6,11,17,52,103,.505,17,40,.425,9,10,.900,15,48,31,8,3,8,22
9,9,2022-11-06,CLE,L,100,114,40,87,.460,8,27,.296,12,21,.571,10,43,24,4,4,17,26,37,84,.440,8,32,.250,32,36,.889,9,48,19,7,6,14,20
10,10,2022-11-07,UTA,L,116,139,40,82,.488,9,24,.375,27,30,.900,7,33,15,7,5,16,21,53,95,.558,16,38,.421,17,22,.773,10,41,30,10,7,15,23
11,11,2022-11-09,LAC,L,101,114,40,88,.455,10,32,.313,11,17,.647,8,43,26,7,2,16,20,41,81,.506,12,33,.364,20,26,.769,6,41,24,10,7,15,24
12,12,2022-11-11,SAC,L,114,120,42,88,.477,10,25,.400,20,26,.769,14,41,22,11,5,14,22,45,87,.517,12,36,.333,18,21,.857,10,40,27,10,4,15,17
13,13,2022-11-13,BRK,W,116,103,44,91,.484,11,27,.407,17,20,.850,12,45,25,3,2,9,22,36,80,.450,7,27,.259,24,31,.774,8,41,22,5,5,13,17
14,14,2022-11-18,DET,W,128,121,43,78,.551,7,20,.350,35,40,.875,7,44,29,2,7,16,24,43,92,.467,11,34,.324,24,32,.750,10,37,27,9,4,11,30
15,15,2022-11-20,SAS,W,123,92,45,85,.529,12,34,.353,21,24,.875,5,54,29,5,2,15,10,41,105,.390,7,34,.206,3,10,.300,13,44,26,7,2,10,17
16,16,2022-11-22,PHO,L,105,115,36,85,.424,4,22,.182,29,35,.829,7,45,19,8,7,17,12,48,102,.471,16,34,.471,3,5,.600,8,49,23,8,7,15,22
17,17,2022-11-25,SAS,W,105,94,40,83,.482,8,27,.296,17,20,.850,10,49,28,12,5,22,16,38,100,.380,6,33,.182,12,16,.750,20,50,21,11,3,16,18
18,18,2022-11-26,SAS,W,143,138,47,81,.580,17,33,.515,32,37,.865,3,39,25,4,7,17,20,53,105,.505,18,37,.486,14,20,.700,17,47,33,8,5,10,32
19,19,2022-11-28,IND,L,115,116,40,93,.430,11,31,.355,24,31,.774,18,57,23,3,7,14,16,43,105,.410,17,49,.347,13,16,.813,12,49,29,6,10,10,24
20,20,2022-11-30,POR,W,128,109,48,97,.495,14,37,.378,18,26,.692,13,48,28,5,6,8,18,42,90,.467,8,24,.333,17,21,.810,12,45,21,4,5,12,25
21,21,2022-12-02,MIL,W,133,129,52,96,.542,11,26,.423,18,24,.750,12,44,32,6,4,4,16,50,94,.532,17,43,.395,12,15,.800,10,42,29,2,5,10,18
22,22,2022-12-04,WAS,W,130,119,52,96,.542,10,26,.385,16,22,.727,9,51,34,5,5,15,14,49,105,.467,10,39,.256,11,15,.733,11,44,24,10,8,10,23
23,23,2022-12-06,CLE,L,102,116,38,89,.427,6,36,.167,20,24,.833,14,43,16,4,6,16,13,48,93,.516,7,27,.259,13,17,.765,9,44,25,11,3,8,20
24,24,2022-12-07,TOR,L,113,126,37,87,.425,7,33,.212,32,35,.914,10,46,16,6,3,15,17,47,106,.443,12,43,.279,20,24,.833,17,54,25,10,5,11,22
25,25,2022-12-09,PHI,L,122,133,44,88,.500,11,31,.355,23,30,.767,7,37,29,12,4,21,23,48,90,.533,18,40,.450,19,22,.864,7,42,30,14,2,23,30
26,26,2022-12-11,DET,W,124,117,46,84,.548,11,26,.423,21,27,.778,6,42,31,8,4,11,14,43,93,.462,17,45,.378,14,17,.824,10,40,28,9,3,12,19
27,27,2022-12-13,BOS,L,118,122,44,93,.473,8,29,.276,22,30,.733,7,49,23,7,9,12,17,46,104,.442,19,48,.396,11,16,.688,13,51,27,6,2,14,22
28,28,2022-12-16,DEN,W,126,108,48,91,.527,12,33,.364,18,24,.750,11,45,29,11,4,15,21,39,81,.481,9,27,.333,21,28,.750,9,39,25,7,4,19,17
29,29,2022-12-18,WAS,W,119,117,46,92,.500,11,27,.407,16,22,.727,6,43,29,4,5,9,18,44,95,.463,10,39,.256,19,24,.792,10,48,24,5,6,10,20
30,30,2022-12-19,PHO,L,104,130,39,87,.448,12,28,.429,14,17,.824,10,38,13,5,5,15,16,46,93,.495,20,39,.513,18,24,.750,15,51,21,10,5,9,16
31,31,2022-12-21,SAC,L,120,134,42,84,.500,11,24,.458,25,30,.833,5,39,25,6,5,15,24,48,95,.505,17,47,.362,21,28,.750,10,46,29,6,2,12,23
32,32,2022-12-23,CHO,L,130,134,48,92,.522,19,44,.432,15,22,.682,12,42,27,5,1,17,19,52,94,.553,16,41,.390,14,18,.778,11,41,30,11,5,16,21
33,33,2022-12-25,DAL,L,115,124,39,80,.488,9,28,.321,28,32,.875,6,35,18,5,2,10,23,44,84,.524,18,44,.409,18,25,.720,11,38,31,6,3,11,26
34,34,2022-12-27,ORL,W,129,110,49,90,.544,17,43,.395,14,17,.824,9,46,32,4,2,14,16,42,84,.500,10,28,.357,16,25,.640,8,37,25,8,5,11,17
35,35,2022-12-28,MIA,L,98,112,37,77,.481,13,36,.361,11,15,.733,8,44,25,2,4,26,16,44,92,.478,11,35,.314,13,16,.813,10,37,20,14,4,6,15
36,36,2022-12-30,ATL,W,130,121,52,96,.542,10,32,.313,16,18,.889,12,55,34,7,6,16,17,48,101,.475,11,38,.289,14,20,.700,12,41,22,6,5,10,19
37,37,2023-01-02,CHO,W,121,115,45,93,.484,10,30,.333,21,30,.700,9,53,26,6,5,15,21,42,93,.452,11,32,.344,20,29,.690,8,47,24,8,7,14,22
38,38,2023-01-04,MIA,W,112,109,40,81,.494,8,27,.296,24,30,.800,9,42,20,10,4,17,18,43,95,.453,8,29,.276,15,21,.714,14,43,24,9,4,13,20
39,39,2023-01-06,ATL,W,130,114,51,93,.548,16,35,.457,12,16,.750,7,51,33,6,5,18,18,44,96,.458,9,31,.290,17,22,.773,7,39,24,8,5,12,15
40,40,2023-01-07,SAC,W,136,134,50,82,.610,9,21,.429,27,33,.818,10,38,26,4,3,17,25,45,86,.523,14,32,.438,30,37,.811,13,34,25,5,4,14,26
41,41,2023-01-09,DEN,L,109,122,41,93,.441,8,28,.286,19,25,.760,11,44,20,12,2,14,14,46,99,.465,15,42,.357,15,17,.882,14,55,29,7,11,17,19
42,42,2023-01-12,DAL,L,115,119,44,112,.393,10,41,.244,17,27,.630,14,56,24,7,4,10,18,48,96,.500,14,42,.333,9,17,.529,3,54,25,4,9,19,26
43,43,2023-01-15,PHI,L,112,113,48,87,.552,6,20,.300,10,13,.769,4,38,28,4,6,11,19,43,85,.506,12,34,.353,15,19,.789,5,38,29,3,7,10,16
44,44,2023-01-16,HOU,W,140,132,49,91,.538,12,33,.364,30,35,.857,9,39,23,4,5,2,19,49,100,.490,11,30,.367,23,31,.742,17,48,28,0,7,8,25
45,45,2023-01-18,SAC,L,111,116,43,89,.483,11,34,.324,14,18,.778,6,36,26,9,3,7,20,43,87,.494,9,30,.300,21,27,.778,14,47,23,3,5,11,14
46,46,2023-01-20,MEM,W,122,121,38,93,.409,13,41,.317,33,41,.805,10,47,24,7,7,10,26,43,102,.422,9,29,.310,26,40,.650,24,63,24,6,7,14,31
47,47,2023-01-22,POR,W,121,112,45,86,.523,10,30,.333,21,27,.778,10,51,23,5,5,13,19,37,86,.430,17,46,.370,21,25,.840,11,38,24,5,7,12,24
48,48,2023-01-24,LAC,L,115,133,42,95,.442,16,40,.400,15,24,.625,9,32,21,8,4,7,13,51,84,.607,19,38,.500,12,15,.800,7,47,25,4,9,15,20
49,49,2023-01-25,SAS,W,113,104,40,90,.444,10,33,.303,23,30,.767,11,56,25,12,9,20,13,40,106,.377,8,34,.235,16,18,.889,17,48,22,11,2,14,19
50,50,2023-01-28,BOS,L,121,125,47,105,.448,12,42,.286,15,20,.750,11,47,30,4,0,12,23,39,84,.464,13,40,.325,34,39,.872,7,46,18,8,9,12,22
51,51,2023-01-30,BRK,L,104,121,35,89,.393,11,29,.379,23,37,.622,16,53,24,1,3,14,16,45,95,.474,16,41,.390,15,19,.789,12,50,24,8,9,11,25
52,52,2023-01-31,NYK,W,129,123,48,93,.516,11,33,.333,22,31,.710,11,44,29,6,1,14,23,44,98,.449,7,34,.206,28,32,.875,13,45,27,6,3,9,24
53,53,2023-02-02,IND,W,112,111,42,92,.457,6,22,.273,22,31,.710,13,51,29,8,5,13,10,45,93,.484,16,41,.390,5,6,.833,6,46,30,8,6,16,21
54,54,2023-02-04,NOP,L,126,131,45,94,.479,11,32,.344,25,33,.758,13,44,30,4,3,9,20,52,100,.520,9,30,.300,18,20,.900,14,48,28,6,0,11,22
55,55,2023-02-07,OKC,L,130,133,49,85,.576,14,31,.452,18,26,.692,6,41,27,8,3,21,19,49,94,.521,17,34,.500,18,20,.900,7,37,32,12,2,13,18
56,56,2023-02-09,MIL,L,106,115,42,89,.472,7,18,.389,15,21,.714,11,43,23,2,2,12,19,45,99,.455,12,47,.255,13,18,.722,16,51,24,5,7,11,20
57,57,2023-02-11,GSW,W,109,103,40,89,.449,8,25,.320,21,26,.808,10,52,19,4,4,16,12,40,96,.417,12,44,.273,11,12,.917,7,43,31,11,6,16,21
58,58,2023-02-13,POR,L,115,127,42,95,.442,12,37,.324,19,21,.905,14,56,24,6,5,13,16,46,97,.474,23,47,.489,12,13,.923,8,42,27,7,9,7,15
59,59,2023-02-15,NOP,W,120,102,44,83,.530,10,37,.270,22,36,.611,6,43,32,5,8,11,23,39,89,.438,7,25,.280,17,24,.708,13,50,24,5,3,15,28
60,60,2023-02-23,GSW,W,124,111,42,86,.488,16,30,.533,24,34,.706,10,58,30,8,3,16,20,40,105,.381,14,49,.286,17,21,.810,17,48,24,10,3,10,23
61,61,2023-02-26,DAL,W,111,108,42,97,.433,6,34,.176,21,28,.750,17,56,25,9,4,11,17,39,93,.419,20,49,.408,10,14,.714,11,48,21,5,5,17,24
62,62,2023-02-28,MEM,L,109,121,38,86,.442,13,34,.382,20,23,.870,14,56,22,5,10,26,19,51,112,.455,6,31,.194,13,17,.765,14,47,25,13,6,7,17
63,63,2023-03-01,OKC,W,123,117,38,80,.475,16,35,.457,31,39,.795,10,41,22,8,8,13,19,44,91,.484,11,40,.275,18,24,.750,12,42,29,8,4,13,27
64,64,2023-03-03,MIN,L,102,110,36,87,.414,10,31,.323,20,24,.833,11,41,23,8,2,15,19,42,89,.472,14,34,.412,12,16,.750,10,46,29,10,6,14,21
65,65,2023-03-05,GSW,W,113,105,42,95,.442,11,33,.333,18,22,.818,10,46,29,3,3,9,17,36,91,.396,18,52,.346,15,18,.833,7,42,27,2,6,13,21
66,66,2023-03-07,MEM,W,112,103,41,90,.456,7,28,.250,23,29,.793,7,57,27,4,2,15,18,36,93,.387,9,37,.243,22,29,.759,6,45,18,6,6,7,25
67,67,2023-03-10,TOR,W,122,112,45,80,.563,13,30,.433,19,19,1.000,5,35,28,8,8,21,10,46,92,.500,10,28,.357,10,13,.769,10,37,29,14,3,13,16
68,68,2023-03-12,NYK,L,108,112,43,89,.483,12,36,.333,10,17,.588,10,37,24,6,2,11,17,42,88,.477,11,37,.297,17,21,.810,12,46,18,8,3,11,18
69,69,2023-03-14,NOP,W,123,108,40,82,.488,18,39,.462,25,28,.893,15,52,24,8,2,18,16,42,98,.429,11,43,.256,13,20,.650,15,41,23,9,3,12,24
70,70,2023-03-15,HOU,L,110,114,34,90,.378,11,44,.250,31,37,.838,11,36,21,7,3,10,17,47,89,.528,8,29,.276,12,19,.632,16,51,22,5,3,18,29
71,71,2023-03-17,DAL,L,110,111,43,84,.512,5,20,.250,19,31,.613,13,42,23,8,3,12,18,40,79,.506,16,34,.471,15,19,.789,7,35,27,8,4,15,26
72,72,2023-03-19,ORL,W,111,105,36,78,.462,13,32,.406,26,32,.813,9,52,25,2,9,15,19,41,102,.402,10,38,.263,13,17,.765,13,44,24,8,3,8,28
73,73,2023-03-22,PHO,W,122,111,39,70,.557,8,17,.471,36,46,.783,5,36,27,7,2,15,20,42,90,.467,12,31,.387,15,20,.750,12,39,23,7,6,17,31
74,74,2023-03-24,OKC,W,116,111,42,91,.462,12,34,.353,20,28,.714,16,53,20,9,4,11,14,40,92,.435,14,36,.389,17,19,.895,12,45,21,6,5,10,19
75,75,2023-03-26,CHI,L,108,118,38,75,.507,13,36,.361,19,28,.679,8,38,24,5,4,18,18,47,87,.540,14,31,.452,10,13,.769,8,42,32,8,2,9,23
76,76,2023-03-29,CHI,W,121,110,45,86,.523,7,20,.350,24,30,.800,13,45,22,10,3,16,14,45,88,.511,9,33,.273,11,13,.846,6,32,31,10,4,14,22
77,77,2023-03-31,MIN,W,123,111,45,90,.500,9,22,.409,24,30,.800,15,53,28,10,5,16,17,41,95,.432,13,39,.333,16,19,.842,12,39,25,10,4,16,22
78,78,2023-04-02,HOU,W,134,109,52,93,.559,9,30,.300,21,28,.750,11,51,36,4,8,6,9,44,102,.431,13,34,.382,8,10,.800,16,44,23,4,4,10,18
79,79,2023-04-04,UTA,W,135,133,48,96,.500,12,34,.353,27,35,.771,11,44,27,6,7,12,21,47,90,.522,15,33,.455,24,31,.774,6,41,29,4,3,14,28
80,80,2023-04-05,LAC,L,118,125,45,89,.506,12,29,.414,16,24,.667,10,44,27,4,3,14,17,43,82,.524,16,36,.444,23,27,.852,5,38,23,9,4,13,18
81,81,2023-04-07,PHO,W,121,107,45,92,.489,18,36,.500,13,17,.765,10,54,25,6,6,16,12,43,104,.413,9,36,.250,12,14,.857,13,47,23,7,10,9,12
82,82,2023-04-09,UTA,W,128,117,47,97,.485,18,45,.400,16,21,.762,10,49,28,4,7,11,9,51,101,.505,10,35,.286,5,6,.833,7,45,31,4,4,11,16
1,1,2022-10-19,NYK,W,115,112,42,108,.389,17,50,.340,14,23,.609,20,64,27,6,7,14,17,44,109,.404,9,37,.243,15,18,.833,18,54,28,7,5,12,26
2,2,2022-10-21,HOU,W,129,122,45,98,.459,19,42,.452,20,29,.690,17,50,26,8,10,12,21,44,93,.473,16,35,.457,18,30,.600,13,45,18,4,6,14,22
3,3,2022-10-22,DAL,L,96,137,34,79,.430,9,33,.273,19,24,.792,6,29,20,4,8,18,29,45,90,.500,17,39,.436,30,36,.833,15,52,23,7,7,15,24
4,4,2022-10-24,BRK,W,134,124,47,94,.500,16,34,.471,24,31,.774,12,38,21,7,3,9,22,47,87,.540,9,29,.310,21,26,.808,9,35,27,4,7,11,30
5,5,2022-10-27,SAC,W,125,110,49,92,.533,14,33,.424,13,18,.722,11,43,27,5,3,14,18,40,83,.482,12,38,.316,18,22,.818,9,40,28,5,2,13,20
6,6,2022-10-29,UTA,L,123,124,50,88,.568,12,27,.444,11,15,.733,10,40,24,11,5,20,26,45,87,.517,19,44,.432,15,20,.750,10,34,30,8,6,20,17
7,7,2022-10-31,UTA,L,105,121,38,92,.413,6,26,.231,23,42,.548,18,52,14,8,4,16,17,42,89,.472,19,47,.404,18,22,.818,11,48,26,10,6,16,30
8,8,2022-11-02,POR,W,111,106,38,83,.458,13,28,.464,22,27,.815,10,46,28,7,5,15,19,36,89,.404,13,33,.394,21,26,.808,16,46,27,5,3,20,17
9,9,2022-11-04,CHO,W,130,99,50,98,.510,16,36,.444,14,18,.778,18,60,34,6,10,19,20,33,86,.384,8,27,.296,25,31,.806,12,41,22,11,7,18,17
10,10,2022-11-06,WAS,W,103,97,39,91,.429,9,29,.310,16,20,.800,12,50,20,8,2,11,17,41,96,.427,8,41,.195,7,10,.700,15,49,25,5,5,10,21
11,11,2022-11-07,BOS,L,106,109,41,91,.451,15,44,.341,9,14,.643,8,45,27,4,4,11,23,38,82,.463,12,37,.324,21,28,.750,7,45,26,5,6,15,19
12,12,2022-11-09,SAS,W,124,122,50,98,.510,14,32,.438,10,13,.769,18,53,24,4,2,20,22,47,98,.480,12,37,.324,16,23,.696,13,39,30,8,2,12,17
13,13,2022-11-11,MIN,W,114,103,44,88,.500,7,33,.212,19,27,.704,15,46,25,8,3,14,19,37,79,.468,10,30,.333,19,22,.864,7,33,29,10,4,15,25
14,14,2022-11-13,WAS,L,92,102,38,96,.396,9,28,.321,7,10,.700,14,51,21,7,6,17,24,36,86,.419,19,40,.475,11,21,.524,9,47,26,9,6,15,15
15,15,2022-11-15,NOP,L,102,113,38,92,.413,9,35,.257,17,25,.680,14,51,16,6,8,11,17,43,91,.473,18,38,.474,9,12,.750,7,43,31,2,8,10,20
16,16,2022-11-18,OKC,W,121,110,39,93,.419,14,39,.359,29,40,.725,17,57,26,4,7,11,13,45,96,.469,11,34,.324,9,11,.818,8,43,34,5,9,11,28
17,17,2022-11-20,BRK,L,115,127,43,99,.434,12,37,.324,17,31,.548,13,44,28,13,0,10,12,50,83,.602,16,34,.471,11,15,.733,5,45,33,5,5,19,25
18,18,2022-11-22,SAC,L,109,113,41,91,.451,8,30,.267,19,30,.633,13,49,26,12,10,18,23,39,90,.433,15,45,.333,20,27,.741,9,45,27,11,2,20,25
19,19,2022-11-25,NOP,W,132,111,47,91,.516,18,38,.474,20,27,.741,13,46,26,4,4,14,20,37,86,.430,10,31,.323,27,31,.871,11,41,26,9,4,13,22
20,20,2022-11-27,NYK,W,127,123,46,95,.484,12,32,.375,23,31,.742,16,50,32,4,2,11,23,44,87,.506,10,30,.333,25,30,.833,12,42,30,3,7,8,27
21,21,2022-11-30,MIN,L,101,109,37,87,.425,9,26,.346,18,30,.600,20,59,17,7,4,27,20,41,89,.461,12,39,.308,15,19,.789,5,29,26,13,11,13,25
22,22,2022-12-02,PHI,W,117,109,42,97,.433,11,30,.367,22,28,.786,19,57,22,8,11,12,18,40,91,.440,14,33,.424,15,17,.882,10,42,23,7,5,13,21
23,23,2022-12-04,DET,W,122,112,43,92,.467,15,35,.429,21,29,.724,12,46,28,9,5,14,21,37,84,.440,13,35,.371,25,30,.833,8,39,26,7,7,15,24
24,24,2022-12-05,MIA,W,101,93,42,90,.467,8,32,.250,9,9,1.000,4,41,23,10,5,12,14,31,79,.392,14,40,.350,17,22,.773,9,45,23,7,3,17,11
25,25,2022-12-07,OKC,W,123,102,48,94,.511,14,38,.368,13,16,.813,10,50,32,13,9,17,19,34,92,.370,14,38,.368,20,23,.870,14,48,25,9,3,19,16
26,26,2022-12-09,DET,W,114,103,44,91,.484,9,32,.281,17,32,.531,12,48,30,11,8,14,19,36,90,.400,11,35,.314,20,27,.741,13,47,23,6,7,19,29
27,27,2022-12-12,ATL,W,128,103,50,83,.602,13,32,.406,15,18,.833,5,49,36,8,12,23,17,37,104,.356,12,37,.324,17,22,.773,20,39,20,13,1,16,17
28,28,2022-12-15,MIL,W,142,101,56,102,.549,12,32,.375,18,23,.783,14,56,30,5,7,8,19,35,94,.372,13,50,.260,18,27,.667,11,39,22,5,1,9,18
29,29,2022-12-17,OKC,L,109,115,34,90,.378,12,45,.267,29,37,.784,10,53,15,5,5,10,20,38,92,.413,19,45,.422,20,31,.645,9,53,29,7,0,10,25
