     ,Date                ,Start (ET) ,Visitor/Neutral        ,PTS ,Home/Neutral           ,PTS.1 ,Unnamed: 6 ,Unnamed: 7 ,Attend. ,LOG    ,Arena                      ,Notes
  32 ,"Sat, Oct 23, 2021" ,10:00p     ,Phoenix Suns           ,105 ,Portland Trail Blazers ,  134 ,Box Score  ,           ,18558.0 ,1:59   ,Moda Center                ,
  33 ,"Sat, Oct 23, 2021" ,10:30p     ,Memphis Grizzlies      ,120 ,Los Angeles Clippers   ,  114 ,Box Score  ,           ,16748.0 ,2:13   ,Crypto.com Arena           ,
  34 ,"Sun, Oct 24, 2021" ,4:00p      ,Charlotte Hornets      ,111 ,Brooklyn Nets          ,   95 ,Box Score  ,           ,17732.0 ,2:02   ,Barclays Center            ,
  35 ,"Sun, Oct 24, 2021" ,7:00p      ,Boston Celtics         ,107 ,Houston Rockets        ,   97 ,Box Score  ,           ,16069.0 ,2:14   ,Toyota Center              ,
  36 ,"Sun, Oct 24, 2021" ,7:00p      ,Orlando Magic          ,110 ,New York Knicks        ,  104 ,Box Score  ,           ,16273.0 ,2:23   ,Madison Square Garden (IV) ,
  37 ,"Sun, Oct 24, 2021" ,7:00p      ,Philadelphia 76ers     ,115 ,Oklahoma City Thunder  ,  103 ,Box Score  ,           ,14256.0 ,2:06   ,Paycom Center              ,
  38 ,"Sun, Oct 24, 2021" ,9:00p      ,Golden State Warriors  ,119 ,Sacramento Kings       ,  107 ,Box Score  ,           ,13876.0 ,2:17   ,Golden 1 Center            ,
  39 ,"Sun, Oct 24, 2021" ,9:30p      ,Memphis Grizzlies      ,118 ,Los Angeles Lakers     ,  121 ,Box Score  ,           ,18997.0 ,2:24   ,Crypto.com Arena           ,
  40 ,"Mon, Oct 25, 2021" ,7:00p      ,Boston Celtics         ,140 ,Charlotte Hornets      ,  129 ,Box Score  ,OT         ,17238.0 ,2:29   ,Spectrum Center            ,
  41 ,"Mon, Oct 25, 2021" ,7:00p      ,Milwaukee Bucks        ,119 ,Indiana Pacers         ,  109 ,Box Score  ,           ,10339.0 ,2:23   ,Gainbridge Fieldhouse      ,
  42 ,"Mon, Oct 25, 2021" ,7:30p      ,Chicago Bulls          ,111 ,Toronto Raptors        ,  108 ,Box Score  ,           ,19800.0 ,2:16   ,Scotiabank Arena           ,
  43 ,"Mon, Oct 25, 2021" ,7:30p      ,Orlando Magic          , 90 ,Miami Heat             ,  107 ,Box Score  ,           ,19600.0 ,2:12   ,FTX Arena                  ,
  44 ,"Mon, Oct 25, 2021" ,7:30p      ,Washington Wizards     , 90 ,Brooklyn Nets          ,  104 ,Box Score  ,           ,14487.0 ,2:06   ,Barclays Center            ,
  45 ,"Mon, Oct 25, 2021" ,7:30p      ,Detroit Pistons        ,104 ,Atlanta Hawks          ,  122 ,Box Score  ,           ,14209.0 ,2:04   ,State Farm Arena           ,
  46 ,"Mon, Oct 25, 2021" ,8:00p      ,New Orleans Pelicans   ,107 ,Minnesota Timberwolves ,   98 ,Box Score  ,           ,14435.0 ,2:14   ,Target Center              ,
  47 ,"Mon, Oct 25, 2021" ,9:00p      ,Cleveland Cavaliers    , 99 ,Denver Nuggets         ,   87 ,Box Score  ,           ,14221.0 ,2:06   ,Ball Arena                 ,
  48 ,"Mon, Oct 25, 2021" ,10:30p     ,Portland Trail Blazers , 86 ,Los Angeles Clippers   ,  116 ,Box Score  ,           ,15672.0 ,2:10   ,Crypto.com Arena           ,
  49 ,"Tue, Oct 26, 2021" ,7:30p      ,Philadelphia 76ers     , 99 ,New York Knicks        ,  112 ,Box Score  ,           ,15218.0 ,2:16   ,Madison Square Garden (IV) ,
  50 ,"Tue, Oct 26, 2021" ,8:00p      ,Golden State Warriors  ,106 ,Oklahoma City Thunder  ,   98 ,Box Score  ,           ,    0.0 ,2:11   ,Paycom Center              ,
