Team_Name,G,W,L,W/L%,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,MP.1,ORB,DRB,TRB,ORB.1,DRB.1,TRB.1,MP.2,AST,STL,BLK,TOV,PF,ORtg,DRtg,FTr,3PAr,TS%,eFG%,FT/FGA
ATL,1.0,0.2857142857142857,0.7142857142857143,0.2857142857142857,241.78571428571428,40.357142857142854,91.21428571428571,0.4430714285714286,27.428571428571427,51.857142857142854,0.5300714285714286,12.928571428571429,39.357142857142854,0.3320714285714286,17.214285714285715,22.928571428571427,0.7571428571428571,110.85714285714286,241.78571428571428,11.928571428571429,32.142857142857146,44.07142857142857,9.571428571428571,36.5,46.07142857142857,241.78571428571428,27.285714285714285,10.285714285714286,4.642857142857143,16.285714285714285,18.642857142857142,107.62857142857142,113.76428571428572,0.25207142857142856,0.4320714285714286,0.5477857142857142,0.5142857142857143,0.18928571428571428
BOS,1.0,0.6,0.4,0.6,243.33333333333334,40.266666666666666,89.6,0.4514666666666667,24.533333333333335,45.266666666666666,0.5452,15.733333333333333,44.333333333333336,0.35553333333333337,16.4,20.4,0.8031333333333334,112.66666666666667,243.33333333333334,10.466666666666667,33.53333333333333,44.0,10.933333333333334,35.13333333333333,46.06666666666667,243.33333333333334,26.4,7.2,5.933333333333334,11.666666666666666,16.866666666666667,115.7,111.35333333333332,0.2296,0.4953333333333333,0.5740666666666667,0.5394666666666666,0.18513333333333334
BRK,1.0,0.2,0.8,0.2,241.66666666666666,36.06666666666667,86.4,0.41686666666666666,24.266666666666666,49.13333333333333,0.49306666666666665,11.8,37.266666666666666,0.31406666666666666,15.666666666666666,20.866666666666667,0.7451333333333333,99.6,241.66666666666666,12.466666666666667,30.8,43.266666666666666,9.733333333333333,34.2,43.93333333333333,241.66666666666666,23.666666666666668,7.733333333333333,4.533333333333333,15.666666666666666,17.6,103.78666666666666,114.87333333333332,0.2432,0.43233333333333335,0.5213333333333333,0.48546666666666666,0.18313333333333331
CHI,1.0,0.375,0.625,0.375,240.0,42.6875,91.875,0.46418750000000003,27.25,51.0,0.535625,15.4375,40.875,0.372625,14.1875,17.375,0.825125,115.0,240.0,11.25,36.25,47.5,11.75,34.375,46.125,240.0,28.375,7.25,5.125,15.0,16.625,113.225,115.4875,0.1919375,0.44425000000000003,0.5775625,0.54775,0.1565625
CHO,1.0,0.38461538461538464,0.6153846153846154,0.38461538461538464,240.0,39.61538461538461,90.46153846153847,0.43823076923076926,26.846153846153847,53.53846153846154,0.5060769230769231,12.76923076923077,36.92307692307692,0.3426153846153846,17.46153846153846,22.076923076923077,0.7873846153846155,109.46153846153847,240.0,13.76923076923077,32.61538461538461,46.38461538461539,10.384615384615385,32.38461538461539,42.76923076923077,240.0,24.692307692307693,8.846153846153847,4.615384615384615,14.461538461538462,18.0,111.74615384615385,113.24615384615385,0.24638461538461537,0.41007692307692306,0.5467692307692308,0.5091538461538462,0.19446153846153846
CLE,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,240.0,44.8,91.53333333333333,0.4890666666666667,28.666666666666668,48.4,0.5899333333333333,16.133333333333333,43.13333333333333,0.372,16.733333333333334,21.0,0.7962666666666667,122.46666666666667,240.0,11.6,34.0,45.6,10.333333333333334,31.466666666666665,41.8,240.0,29.6,7.0,4.0,12.133333333333333,17.666666666666668,123.68,115.09333333333333,0.23099999999999998,0.4720666666666667,0.6075333333333333,0.5772666666666667,0.18433333333333335
DAL,1.0,0.4,0.6,0.4,240.0,41.13333333333333,88.66666666666667,0.4654,28.733333333333334,53.733333333333334,0.5397333333333333,12.4,34.93333333333333,0.3510666666666667,17.2,22.133333333333333,0.7702666666666667,111.86666666666666,240.0,11.266666666666667,33.8,45.06666666666667,12.2,33.333333333333336,45.53333333333333,240.0,25.533333333333335,7.333333333333333,5.866666666666666,14.666666666666666,18.066666666666666,113.32666666666667,117.26,0.255,0.3953333333333333,0.5705333333333333,0.5359999999999999,0.19833333333333333
DEN,1.0,0.6875,0.3125,0.6875,241.5625,45.75,88.75,0.51775,34.375,58.0625,0.5932499999999999,11.375,30.6875,0.3730625,17.0625,21.375,0.7995,119.9375,241.5625,11.5,34.8125,46.3125,11.3125,29.1875,40.5,241.5625,29.6875,7.625,5.3125,14.6875,16.0625,120.83125,115.50625,0.2439375,0.3466875,0.6139375,0.58275,0.19518749999999999
DET,1.0,0.6,0.4,0.6,240.0,43.13333333333333,91.2,0.4736,31.0,56.93333333333333,0.5444,12.133333333333333,34.266666666666666,0.3559333333333334,15.6,19.666666666666668,0.7924666666666667,114.0,240.0,11.266666666666667,33.8,45.06666666666667,10.733333333333333,31.933333333333334,42.666666666666664,240.0,25.266666666666666,8.733333333333333,5.133333333333334,14.666666666666666,19.466666666666665,113.93333333333334,111.84666666666666,0.21713333333333334,0.3768,0.5722666666666666,0.5410666666666667,0.17226666666666668
GSW,1.0,0.4666666666666667,0.5333333333333333,0.4666666666666667,240.0,39.6,90.2,0.4406666666666667,23.266666666666666,45.53333333333333,0.5110666666666667,16.333333333333332,44.666666666666664,0.3665333333333333,13.533333333333333,18.2,0.7393333333333333,109.06666666666666,240.0,12.333333333333334,31.866666666666667,44.2,9.733333333333333,34.266666666666666,44.0,240.0,28.2,8.533333333333333,4.466666666666667,14.133333333333333,19.4,112.2,117.56,0.2042,0.4941333333333333,0.5565333333333334,0.5314,0.15173333333333333
